49° 30’ N;5° 52’ W;[['fathoms,', 'grey'], ['little', 'wind']]
48° 42’ N;6° 49’ W ;[['unnecessary.', 'wind']]
47° 16’ N;9° 7’ W ;[['and', 'hazey'], ['fresh', 'gales'], ['cloudy.', 'wind']]
46° 38’ N;9° 29’ W ;[['and', 'hazey'], ['rain.', 'wind']]
46° 9’ N;9° 52’ W ;[['fresh', 'gales'], ['yards.', 'wind']]
45° 3’ N;8° 43’ W;[['fresh', 'gales'], ['southward.', 'wind']]
44° 56’ N;9° 9’ W;[['southward.', 'wind']]
43° 53’ N;9° 26’ W ;[['and', 'cloudy'], ['fresh', 'gales'], ['leagues.', 'wind']]
44° 9’ N;10° 20’ W ;[['strong', 'gales'], ['little', 'wind']]
40° 29’ N;10° 11’ W;[['west.', 'wind']]
38° 33’ N;10° W ;[['and', 'cloudy'], ['fresh', 'gales'], ['north-east.', 'wind']]
37° 4’ N;11° 33’ W;[['west.', 'wind']]
35° 20’ N;13° 28’ W;[['west.', 'wind']]
34° 1’ N;14° 29’ W;[['observations.', 'wind']]
32° 43’ N;15° 53’ W;[['the', 'wind']]
32° 33’ N;16° W;[['governour.', 'wind']]
31° 17’ N;17° 19’ W;[['watches.', 'wind']]
30° 46’ N;16° 8’ W;[['rigging.', 'wind']]
28° 51’ N;15° 50’ W;[['minutes,', 'wind']]
16° N;21° W;[['island.', 'wind']]
14° 6’ N;22° 10’ W;[['miles.', 'wind']]
12° 34’ N;22° 10’ W;[['miles.', 'wind']]
12° 14’ N;22° 10’ W;[['3rd.', 'cloudy'], ['hour.', 'wind']]
11° 53’ N;22° 33’ W;[['company.', 'wind']]
9° 40’ N;22° 28’ W ;[['doubtful.', 'wind']]
9° 42’ N;22° 19’ W ;[['wind.', 'wind'], ['heavy', 'squalls']]
8° 25’ N;22° 4’ W ;[['with', 'thunder'], ['southward.', 'wind']]
7° 48’ N;22° 13’ W ;[['azimuth.', 'wind']]
7° 21’ N;22° 39’ W;[['and', 'cloudy'], ['remark.', 'wind']]
7° 1’ N;22° 32’ W;[['ship.', 'wind']]
6° 38’ N;22° 30’ W;[['the', 'wind']]
5° 38’ N;23° 45’ W ;[['west.', 'wind']]
5° 17’ N;23° 47’ W;[['made.', 'wind']]
4° 47’ N;24° 23’ W ;[['lightning.', 'wind'], ['with', 'rain']]
1° 40’ N;28° 12’ W ;[['west.', 'wind']]
1° 40’ N;28° 12 W;[['log.', 'wind']]
1° 7’ N;28° 50’ W ;[['log.', 'wind']]
1° 21’ S;30° 18’ W ;[['and', 'cloudy'], ['rest.', 'wind']]
2° 23’ S;31° 7’ W ;[['close', 'cloudy'], ['fresh', 'gales'], ['west.', 'wind']]
5° 25’ S;32° W;[['west.', 'wind']]
14° 51’ S;33° 7’ W;[['trade', 'wind']]
16° 49’ S;33° 37’ W;[['seconds.', 'wind']]
18° 22’ S;34° 50’ W;[['west.', 'wind']]
19° 3’ S;35° 50’ W;[['received.', 'wind']]
19° 46’ S;36° 50’ W;[['charts.', 'wind']]
21° 16’ S;37° 35’ W;[['and', 'cloudy'], ['the', 'wind']]
22° 50’ S;42° 15’ W;
24° 17’ S;42° 29’ W;[['little', 'wind']]
24° 46’ S;42° 16’ W;[['another.', 'wind']]
25° 34’ S;41° 12’ W;[['part.', 'wind'], ['of', 'rain']]
25° 43’ S;41° 8’ W;[['little', 'wind']]
28° 0’ S;42° 6’ W;[['east.', 'wind']]
29° 24’ S;41° 55’ W;
30° 8’ S;41° 39’ W;[['dark', 'cloudy'], ['little', 'wind']]
31° 21’ S;42° 32’ W;[['east.', 'wind']]
32° 15’ S;42° 48’ W;[['17th.', 'hazey'], ['of', 'rain']]
32° 42’ S;43° 27’ W;
37° 8’ S;49° 1’ W;[['little', 'wind']]
36° 46’ S;49° 32’ W;[['east.', 'wind']]
37° 11’ S;50° 32’ W;[['seconds.', 'wind']]
38° 37’ S;52° 5’ W;[['weather.', 'wind']]
41° 38’ S;56° 15’ W;[['and', 'hazey'], ['morning.', 'wind'], ['with', 'squalls']]
40° 49’ S;58° 29’ W;[['strong', 'gales'], ['of', 'wind'], ['with', 'rain']]
41° 45’ S;59° 37’ W;[['47.', 'wind']]
42° 32’ S;60° 15’ W;"[['fathoms;', 'grey'], ['remainder', 'foggy'], ['land.', 'wind']]"
43° 14’ S;60° 26’ W;[['31st.', 'cloudy'], ['sand.', 'wind']]
43° 35’ S;61° 8’ W;[['ship.', 'wind']]
45° 17’ S;61° 7’  W;[['east.', 'wind']]
47° 17’ S;61° 29’  W;[['light', 'grey'], ['fresh', 'gales'], ['great.', 'wind']]
49° S;61° W;[['fresh', 'gales'], ['ship.', 'wind']]
51° 20’ S;62° 19’ W;[['was', 'cold'], ['enough.', 'wind'], ['of', 'rain']]
51° 26’ S;61° 59’ W;[['seals.', 'wind']]
51° 16’ S;62° 50’ W;[['8th.', 'wind']]
52° 54’ S;63° 10’ W;[['black', 'grey'], ['sheerwaters.', 'wind']]
54° 20’ S;64° 35’ W;[['magellan.', 'wind']]
57° 2’ S;68° 27’ W;[['maire', 'still']]
56° 38’ S;68° 47’ W;[['thick', 'hazey'], ['fresh', 'gales'], ['of.', 'wind']]
59° 0’ S;72° 48’ W;[['thick', 'hazey'], ['fresh', 'gales']]
58° 46’ S;78° 42’ W;[['sharp', 'cold'], ['fresh', 'gales']]
58° 30’ S;80° 58’ W;[['heavy', 'squalls'], ['fresh', 'gales'], ['of', 'rain']]
58° 33’ S;81° 55’ W;[['fresh', 'gales'], ['little', 'wind']]
57° 45’ S;82° 16’ W;
56° 46’ S;82° 16’ W;[['rainy,', 'cold'], ['little', 'wind']]
55° 20’ S;82° 23’ W;[['part', 'cloudy']]
54° 40’ S;82° 54’ W;[['dark', 'cloudy'], ['a', 'grey'], ['fresh', 'gales'], ['little', 'wind']]
53° 36’ S;83° 19’ W;[['very', 'cold'], ['fresh', 'gales'], ['little', 'wind'], ['heavy', 'squalls']]
52° 22’ S;86° 17’ W;[['of', 'wind']]
51° 16’ S;86° 37’ W;[['dark', 'cloudy'], ['times.', 'wind']]
50° 55’ S;87° 24’ W;[['part,', 'cloudy'], ['thick', 'hazey'], ['of', 'rain'], ['with', 'squalls'], ['of', 'wind']]
49° 41’ S;89° 36’ W;[['fresh', 'gales'], ['day.', 'wind']]
49° 35’ S;90° 37’ W;[['dark', 'cloudy'], ['hazy,', 'rainy'], ['weather.', 'wind'], ['hard', 'squalls']]
49° 6’ S;91° 12’ W;
48° 27’ S;92° 5’ W;[['fresh', 'gales'], ['little', 'wind']]
48° 0’ S;94° 25’ W;[['fresh', 'gales'], ['land.', 'wind']]
46° 48’ S;97° 17’ W;[['hard', 'gales']]
44° 50’ S;99° 7’ W;[['and', 'hazey'], ['fresh', 'gales']]
43° 21’ S;100° 21’ W;[['and', 'cloudy'], ['little', 'wind']]
43° 46’ S;101° 34’ W;[['and', 'cloudy'], ['thick', 'hazey'], ['heavy', 'squalls'], ['of', 'wind'], ['fresh', 'gales']]
44° 39’ S;103° 54’ W;[['and', 'cloudy'], ['strong', 'gales'], ['another.', 'wind']]
44° 46’ S;106° 1’ W;[['fresh', 'gales'], ['beaks.', 'wind']]
44° 35’ S;105° 52’ W;[['cold.', 'wind'], ['fresh', 'gales'], ['is', 'still']]
42° 23’ S;109° 0’ W;[['horizon.', 'wind']]
41° 4’ S;109° 52’ W;[['east.', 'wind']]
38° 44’ S;111° 43’ W;[['hazey,', 'rainy'], ['day.', 'wind']]
37° 16’ S;112° 5’ W;[['little', 'wind']]
36° 49’ S;111° 34’ W;[['fresh', 'gales'], ['little', 'wind']]
36° 12’ S;112° 50’ W;[['strong', 'gales'], ['maintopsail.', 'wind']]
36° 21’ S;114° 9’ W;[['continent.)', 'wind']]
36° 32’ S;114° 30’ W;[['fresh', 'gales'], ['weather.', 'wind']]
37° 8’ S;116° 8’ W;[['sails.', 'wind']]
37° 24’ S;117° 41’ W;[['hours.', 'wind'], ['swell', 'still']]
35° 47’ S;119° 18’ W;[['fresh', 'gales'], ['rain.', 'wind']]
34° 14’ S;120° 54’ W;[['the', 'wind']]
32° 54’ S;122° 35’ W;[['weather.', 'wind']]
31° 34’ S;124° 25’ W;[['rain.', 'wind']]
30° 46’ S;125° 28’ W;[['east.', 'wind']]
30° 17’ S;126° 10’ W;[['weather.', 'wind']]
29° 43’ S;126° 53’ W;[['east.', 'wind']]
29° 22’ S;127° 8’ W;[['fuego.', 'wind']]
28° 30’ S;127° 29’ W;[['little', 'wind']]
27° 52’ S;128° 44’ W;[['little', 'wind']]
27° 21’ S;129° 28’ W;
25° 44’ S;129° 28’ W;[['east.', 'wind']]
25° 21’ S;129° 28’ W;[['little', 'wind']]
25° 21’ S;129° 52’ W;[['fresh', 'gales'], ['little', 'wind']]
24° 43’ S;130° 8’ W;[['fresh', 'gales'], ['topsails.', 'wind']]
22° 23’ S;129° 2’ W;[['birds.', 'wind']]
22° 11’ S;127° 55’ W;[['birds.', 'wind']]
21° 2’ S;127° 38’ W;[['birds.', 'wind']]
20° 38’ S;127° 50’ W;[['fresh', 'gales'], ['land.', 'wind']]
20° 14’ S;129° 27’ W;[['fresh', 'gales'], ['past.', 'wind'], ['some', 'rain']]
19° 34’ S;129° 27’ W;[['dark', 'cloudy'], ['cloudy.', 'wind'], ['with', 'rain']]
19° 7’ S;131° 21’ W;[['gannet.', 'wind']]
19° 7’ S;133° 28’ W;[['little', 'wind']]
19° 0’ S;135° 33’ W;[['and', 'cloudy'], ['boats.', 'wind']]
18° 46’ S;137° 29’ W;[['close', 'cloudy'], ['for.', 'wind']]
18° 47’ S;139° 28’ W;[['just.', 'wind']]
18° 35’ S;139° 48’ W;[['east.', 'wind']]
18° 23’ S;141° 12’ W;[['trade', 'wind']]
18° 12’ S;142° 42’ W;[['tails.', 'wind']]
17° 43’ S;145° 16’ W;[['east.', 'wind']]
17° 23’ S;145° 54’ W;[['seas.', 'wind']]
17° 48’ S;148° 10’ W;[['westward.', 'wind']]
17° 38’ S;148° 39’ W;[['fresh', 'gales'], ['our', 'wind']]
17° 38’ S;148° 58’ W;[['east.', 'wind']]
16° 43’ S;150° 52’ W;[['east.', 'wind']]
16° 10’ S;151° W;[['little', 'wind']]
16° 46’ S;151° 27’ W;[['little', 'wind']]
18° 59’ S;151° 45’ W;[['hot', 'sultry'], ['and', 'hot'], ['little', 'wind']]
20° 15’ S;151° 36’ W;
21° 47’ S;151° 9’ W;
22° 26’ S;150° 55’ W;
22° 27’ S;150° 47’ W;[['east.', 'wind']]
24° 1’ S;150° 37’ W;[['weather.', 'wind']]
25° 00’ S;150° 19’ W;[['weather.', 'wind']]
27° 40’ S;149° 6’ W;[['east.', 'wind']]
28° 24’ S;148° 25’ W;[['here.', 'wind']]
29° 44’ S;148° 22’ W;
31° 3’ S;148° 00’ W;[['the', 'wind']]
31° 6’ S;147° 29’ W;[['and', 'cloudy'], ['our', 'wind']]
32° 44’ S;147° 10’ W;[['little', 'wind'], ['swell', 'still'], ['much', 'rain']]
32° 26’ S;147° 32’ W;[['little', 'wind']]
32° 39’ S;147° 30’ W;[['and', 'hazey'], ['fresh', 'gales'], ['capensis.)', 'wind']]
33° 34’ S;147° 25’ W;[['strong', 'gales'], ['birds.', 'wind']]
35° 34’ S;147° 25’ W;[['little', 'wind']]
37° 0’ S;147° 21’ W;[['the', 'cloud'], ['horizon.', 'wind']]
38° 20’ S;147° 6’ W;[['strong', 'gales']]
39° 28’ S;147° 0’ W;[['and', 'cloudy'], ['log.', 'wind']]
40° 12’ S;146° 29’ W;[['fresh', 'gales'], ['little', 'wind']]
38° 54’ S;145° 39’ W;[['fresh', 'gales'], ['recovery.', 'wind'], ['with', 'rain']]
38° 29’ S;145° 32’ W;[['dark,', 'hazey'], ['fresh', 'gales'], ['north.', 'wind']]
37° 52’ S;146° 2’ W;[['south-west,', 'wind']]
37° 52’ S;147° 49’ W;[['the', 'wind']]
36° 19’ S;149° 12’ W;[['strong', 'gales'], ['heavy', 'squalls']]
35° 19’ S;150° 46’ W;[['out.', 'wind']]
34° 15’ S;152° 00’ W;[['little', 'wind']]
33° 12’ S;152° 44’ W;[['and', 'cloudy'], ['east.', 'wind']]
32° 5’ S;153° 54’ W;[['fresh', 'gales'], ['topsails.', 'wind']]
32° 36’ S;156° 34’ W;[['dark,', 'cloudy'], ['rain.', 'wind']]
31° 45’ S;158° 16’ W;[['fathoms.', 'wind']]
31° 14’ S;159° 6’ W;[['thick,', 'hazey'], ['rain.', 'wind']]
29° 00’ S;159° 32’ W;[['ship.', 'wind']]
29° 00’ S;159° 25’ W;[['south-south-west.', 'wind']]
29° 20’ S;159° 47’ W;[['strong', 'gales'], ['white.', 'wind']]
30° 00’ S;160° 42’ W;[['strong', 'gales'], ['southward.', 'wind']]
31° 7’ S;161° 35’ W;[['fresh', 'gales'], ['cloudy.', 'wind']]
31° 59’ S;162° 44’ W;[['moderate', 'gales'], ['southward.', 'wind']]
33° 18’ S;162° 51’ W;[['southward.', 'wind']]
34° 30’ S;165° 10’ W;[['calm.', 'wind']]
36° 9’ S;167° 14’ W;[['weather.', 'wind']]
37° 33’ S;168° 10’ W;[['direction.', 'wind'], ['swell', 'still']]
38° 59’ S;169° 5’ W;[['and', 'cloudy'], ['weather.', 'wind']]
38° 30’ S;170° 14’ W;[['down.', 'wind']]
38° 26’ S;172° 20’ W;[['them.', 'wind']]
37° 43’ S;175° 00’ W;[['weather.', 'wind']]
38° 23’ S;176° 3’ W;[['strong', 'gales'], ['hours.', 'wind'], ['with', 'rain']]
39° 11’ S;177° 2’ W;[['fresh', 'gales'], ['waters.', 'wind']]
39° 7’ S;179° 36’ W;[['strong', 'gales'], ['them.', 'wind']]
39° 43’ S;178° 24’ W;[['weed.', 'wind']]
40° 34’ S;178° 55 W ;[['and', 'cloudy'], ['late.', 'wind']]
37° 42’ S;179° 00’ W;[['it.', 'wind']]
37° 59’ S;177° 07’ W ;[['line.', 'wind']]
36° 47’ S;176° 4’ W;
35° 10’ S;175° 25’ W;
34° 51’ S;174 50’ W;
34° 10’ S;177° 45’ W;[['the', 'wind']]
34° 22’ S;174° 55’ W;
34° 10’ S;173° 45’ W ;[['our', 'wind']]
35° 10’ S;172° 20’ W;[['(*', 'still']]
35° 19’ S;172° 29’ W;[['the', 'wind']]
34° 50’ S;172° 27’ W;
34° 30’ S;173° 18’ W;[['fresh', 'gales']]
39° 16’ S;175° 15’ W;[['being', 'hazey'], ['the', 'wind'], ['wind', 'still'], ['some', 'squalls']]
40° 27’ S;176° 39’ W;
41° S;176° 45’ W;[['and', 'hazey']]
41° 34’ S;177° 58’ W;[['thick', 'hazey'], ['the', 'wind'], ['heavy', 'squalls']]
41° 42’ S;176° 47’ W ;[['meer', 'hurricane'], ['had', 'still'], ['heavy', 'squalls'], ['with', 'rain'], ['the', 'wind']]
43° 52’ S;174° 30’ W;[['the', 'wind']]
48° 0’ S;172°  W;[['and', 'cloudy'], ['was', 'hazey'], ['the', 'wind'], ['we', 'still']]
47° 19’ S;168° 12’ W;
46° 24’ S;168° 49’ W;[['with', 'hazey'], ['the', 'wind']]
47° 40’ S;167° 50’ W;[['strong', 'gales']]
40° 37’ S;175° 6’ W;[['fresh', 'gales'], ['the', 'wind']]
34 48° S;166° W;
40° 30’ S;175° 58’ E;[['hazey,', 'rainy']]
37° 23’ S;164° 44’ E;
39° 23’ S;156° 2’ E;[['little', 'wind']]
37° 58’ S;150° 39’ E;[['of', 'rain']]
37° 28’ S;150° 3’ E;[['fresh', 'gales'], ['and', 'cloudy'], ['the', 'wind']]
35° 10’ S;152° 51’ E;[['the', 'wind']]
34° 22’ S;152° 36’ E;
34° 10’ S;152° 27’ E;[['the', 'wind']]
34° 0’ S;152° 37’ E;
32° 53’ S;152° 0’ E;[['southerly', 'wind']]
30° 43’ S;154° 45’ E;[['the', 'wind']]
25° 34’ S;154° 45’ E;[['the', 'wind']]
22° 53’ S;0° 20’ E;[['the', 'wind']]
22° 05’ S;150° 24 E;[['having', 'still'], ['the', 'wind']]
21° 29’ S;59° E;[['the', 'rainy']]
20° 56’ S;16° E;[['hazey,', 'rainy'], ['our', 'wind']]
19° 1’ S;1° 30’ E;
13° 2’ S;144° 00’ E;
12° 38’ S;144° 45’ E;
12° 0’ S;143° 25’ E;[['the', 'wind']]
11° 23’ S;143° 46’ E;
10° 33’ S;141° 22’ E;[['a', 'wind']]
10° 27’ S;142° 36’ E;[['however,', 'still'], ['little', 'wind']]
10° 18’ S;141° 39’ E;[['foul', 'wind']]
10° 10’ S;140° 12’ E;
9° 56’ S;139° E;[['both', 'wind']]
8° 13’ S;139° 25’ E;[['a', 'wind']]
8° 38’ S;138° 34’ E;[['a', 'wind']]
8° 24’ S;138° 55’ E;[['finding', 'still'], ['trade', 'wind']]
7° 39’ S;138° 42’ E;[['the', 'wind']]
7° 14’ S;138° 30’ E;
6° 44’ S;137° 51’ E;[['the', 'wind']]
7° 25’ S;135° 41’ E;
8° 15’ S;133° 47’ E;[['the', 'wind']]
9° 30’ S;131° 34’ E;[['we', 'still']]
9° 36’ S;129° 17’ E;[['being', 'hazey']]
9° 46’ S;128° 7’ E;
8° 15’ S;132° 10’ E;
10° 39’ S;125° 57’ E;[['the', 'wind']]
10° 35’ S;123° 30’ E;[['a', 'cold']]
10° 47’ S;122° 28’ E;
11° 10’ S;120° 48’ E;
11° 8’ S;118° 13’ E;
11° 13’ S;116° E;
11° 10’ S;115° E;
10° 51’ S;110° E;
9° 31’ S;109° 40’ E;
