lat,long
40° 30’ S,175° 58’ E
37° 23’ S,164° 44’ E
39° 23’ S,156° 2’ E
37° 58’ S,150° 39’ E
38° 0’ S,149° E
37° 50’ S,150° 29’ E
37° 39’ S,150° 22’ E
37° 28’ S,150° 3’ E
36° 51’ S,151° 53’ E
35° 27’ S,151° 23’ E
35° 10’ S,152° 51’ E
34° 22’ S,152° 36’ E
34° 10’ S,152° 27’ E
34° 0’ S,152° 37’ E
32° 53’ S,152° 0’ E
30° 43’ S,154° 45’ E
28° 39’ S,154° 27’ E
25° 34’ S,154° 45’ E
22° 05’ S,150° 24 E
16° 6’ S,146° 39’ E
13° 2’ S,144° 00’ E
12° 38’ S,144° 45’ E
12° 0’ S,143° 25 E
11° 23’ S,143° 46 E
10° 33’ S,141° 22’ E
10° 27’ S,142° E
10° 18’ S,141° 39’ E
10° 10’ S,140° 12’ E
9° 56’ S,139° 00’ E
8° 13’ S,139° 25’ E
8° 19’ S,139° 44’ E
8° 38’ S,138° 34’ E
8° 24’ S,138° 55’ E
7° 39’ S,138° 42’ E
7° 14’ S,138° 30’ E
6° 44’ S,137° 51’ E
7° 25’ S,135° 41’ E
7° 6’ S,135° 0’ E
8° 15’ S,133° 47’ E
9° 30’ S,131° 34’ E
9° 36’ S,129° 17’ E
9° 46’ S,128° 7’ E
8° 15’ S,132° 10’ E
9° 37’ S,127° 54’ E
9° 45’ S,126° 12’ E
10° 39’ S,125° 57’ E
10° 23’ S,124° 5’ E
10° 27’ S,123° 31’ E
10° 35’ S,123° 30’ E
10° 47’ S,122° 28’ E
11° 9’ S,121° 26’ E
11° 10’ S,120° 48’ E
11° 8’ S,118° 13’ E
11° 13’ S,116° E
11° 10’ S,115° E
9° 31’ S,109° 40’ E
7° 34’ S,108° 23’ E
6° 29’ S,109° 54’ E
6° 49’ S,105° 12’ E
7° 32’ S,105° 35’ E
7° 55’ S,105° 54’ E
8° 48’ S,105° 51’ E
9° 14’ S,104° 15’ E
9° 46’ S,103° 5’ E
9° 29’ S,103° 8’ E
9° 30’ S,104° 50’ E
9° 34’ S,104° 50’ E
9° 44’ S,104° 44’ E
9° 56’ S,104° 32’ E
10° 12’ S,104° 41’ E
11° 0’ S,103° 27 E
11° 57’ S,102° 15’ E
12° 48’ S,102° 59’ E
13° 42’ S,101° 55’ E
14° 44’ S,99° 40’ E
15° 48’ S,96° 16’ E
16° 40’ S,94° 16 E
17° 30’ S,92° 32’ E
18° 6’ S,90° 54’ E
18° 30’ S,88° 28’ E
18° 58’ S,86° 20’ E
19° 24’ S,84° 40’ E
20° 28’ S,79° 12’ E
20° 58’ S,77° 22’ E
