lat,long
49° 30’ N,5° 52’ W
48° 42’ N,6° 49’ W
47° 16’ N,9° 7’ W
46° 38’ N,9° 29’ W
46° 9’ N,9° 52’ W
45° 3’ N,8° 43’ W
44° 56’ N,9° 9’ W
43° 53’ N,9° 26’ W
44° 9’ N,10° 20’ W
42° 1’ N,9° 50’ W
40° 29’ N,10° 11’ W
38° 33’ N,10° W
37° 4’ N,11° 33’ W
35° 20’ N,13° 28’ W
34° 1’ N,14° 29’ W
32° 43’ N,15° 53’ W
31° 17’ N,17° 19’ W
30° 46’ N,16° 8’ W
29° 40’ N,15° 31’ W
28° 51’ N,15° 50’ W
28° 16’ N,16° 38’ W
28° 13’ N,16° 32’ W
14° 6’ N,22° 10’ W
12° 34’ N,22° 10’ W
12° 14’ N,22° 10’ W
11° 53’ N,22° 33’ W
10° 56’ N,22° 3’ W
9° 40’ N,22° 28’ W
9° 42’ N,22° 19’ W
8° 25’ N,22° 4’ W
7° 58’ N,22° 13’ W
7° 48’ N,22° 13’ W
7° 36’ N,22° 8’ W
7° 21’ N,22° 39’ W
7° 1’ N,22° 32’ W
6° 38’ N,22° 30’ W
6° 50’ N,22° 23’ W
5° 38’ N,23° 45’ W
5° 17’ N,23° 47’ W
4° 47’ N,24° 23’ W
3° 44’ N,25° 23’ W
3° 16’ N,26° 20’ W
2° 46’ N,27° 11’ W
1° 40’ N,28° 12’ W
1° 40’ N,28° 12 W
1° 7’ N,28° 50’ W
0° 15’ S,29° 30’ W
1° 21’ S,30° 18’ W
2° 23’ S,31° 7’ W
3° 41’ S,32° 29’ W
5° 25’ S,32° W
7° 8’ S,33° 4’ W
9° 1’ S,33° 16’ W
12° 48’ S,32° 20’ W
14° 51’ S,33° 7’ W
16° 49’ S,33° 37’ W
18° 22’ S,34° 50’ W
19° 3’ S,35° 50’ W
19° 46’ S,36° 50’ W
21° 16’ S,37° 35’ W
21° 30’ S,37° 43’ W
23° 37’ S,37° 49’ W
22° 50’ S,42° 15’ W
24° 17’ S,42° 29’ W
24° 46’ S,42° 16’ W
25° 34’ S,41° 12’ W
25° 43’ S,41° 8’ W
26° 14’ S,41° 23’ W
28° 0’ S,42° 6’ W
29° 24’ S,41° 55’ W
30° 8’ S,41° 39’ W
31° 21’ S,42° 32’ W
32° 15’ S,42° 48’ W
32° 42’ S,43° 27’ W
34° 4’ S,45° 6’ W
36° 2’ S,47° 14’ W
37° 8’ S,48° 30’ W
37° 8’ S,49° 1’ W
36° 46’ S,49° 32’ W
