Column1;Column2;Column3;Column4
latitude;longitude;color;weather
49.5;-5.8667;red;"friday, 26th. first part fresh breezes and cloudy, remainder little wind
and clear."
48.7;-6.8167;red;"saturday, 27th. first part light airs and clear weather, remainder fresh
breezes and cloudy."
47.2667;-9.1167;red;"sunday, 28th. former part fresh gales and hazey with rain; remainder a
moderate breeze and cloudy."
46.6333;-9.4833;red;"monday, 29th. light airs and hazey the most part of these 24 hours with
some rain."
46.15;-9.8667;red;tuesday, 30th. fresh gales all these 24 hours.
45.05;-8.7167;red;"wednesday, 31st. first and middle parts, moderate breezes and clear;
latter, fresh gales and cloudy."
44.9333;-9.15;red;"thursday, september 1st. very hard gales, with some heavy showers of
rain, the most part of these 24 hours, which brought us under our two
courses, broke one of our main topmast phuttock plates, washed overboard
a small boat belonging to the boatswain, and drowned between 3 and 4
dozen of our poultry, which was worst of all."
43.8833;-9.4333;red;friday, 2nd. fresh gales and cloudy the most part of these 24 hours.
44.15;-10.3333;red;"saturday, 3rd. first part little wind and hazey, with rain; remainder
strong gales with hard squalls, which brought us under our close reeft
topsails, and obliged us to strike topgallant yards."
40.4833;-10.1833;red;"wednesday, 7th. moderate breezes and clear weather; found the variation
to be 21 degrees 4 minutes west."
37.0667;-11.55;red;"friday, 9th. first part fresh gales; remainder moderate breezes and fine,
clear weather."
35.3333;-13.4667;red;saturday, 10th. a steady, fresh breeze and fine clear weather.
34.0167;-14.4833;red;sunday, 11th. the same winds and weather continue.
32.7167;-15.8833;red;monday, 12th. moderate breezes and fine clear weather.
32.55;-17.3167;red;sunday, 18th. ditto weather.
31.2833;-16.1333;red;tuesday, 20th. light airs and clear weather.
30.7667;-15.8333;red;"wednesday, 21st. first part light airs, remainder fresh breezes and clear
weather."
28.85;-22.1667;red;friday, 23rd. light breezes and clear weather.
14.1;-22.1667;red;friday, 30th. a steady breeze and pleasant weather.
12.5667;-22.1667;red;saturday, october 1st. a steady gale and somewhat hazey.
12.2333;-22.55;red;"sunday, 2nd. first part a steady breeze and pleasant weather, remainder
light breezes and cloudy."
11.8833;-22.0;red;monday, 3rd. cloudy weather, with light winds and calms.
9.6667;-22.3167;red;"wednesday, 5th. light breezes of wind, sometimes clear and sometimes
cloudy weather."
9.7;-22.0667;red;"thursday, 6th. first part light breezes and cloudy; middle frequent heavy
squalls, with rain, till towards noon when we had again little wind."
8.4167;-22.2167;red;friday, 7th. variable light airs and calm all these 24 hours.
7.8;-22.65;red;"saturday, 8th. first part, light airs and clear weather; middle, squally,
with thunder and lightning all round; latter part, moderate breezes and
clear weather."
7.35;-22.5333;red;"monday, 10th. first part, light breezes and clear weather; middle,
squally, with heavy showers of rain; latter, variable, light airs and
calm and dark gloomy weather."
7.0167;-22.5;red;"wednesday, 12th. much the same weather as yesterday the first part, the
remainder mostly calm and cloudy weather."
6.6333;-23.75;red;thursday, 13th. light airs of wind, with some heavy showers of rain.
5.6333;-23.7833;red;"friday, 14th. dark, gloomy weather, with much rain, the wind variable
from west-south-west to south-south-east, sometimes on one tack and
sometimes on the other."
